,GEOID_TRACT_10,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20
139,10003016302,10003014904,10003016306,10003016307,10003016308,,,
140,10003014906,10003014906,,,,,,
141,10003002200,10003002200,,,,,,
142,10003990100,10003990100,,,,,,
143,10005050701,10005050701,,,,,,
144,10001042900,10001042900,,,,,,
145,10003002300,10003002300,,,,,,
146,10005051003,10005051008,10005051009,,,,,
147,10001041400,10001041400,,,,,,
148,10003010300,10003010300,,,,,,
149,10003011500,10003011500,,,,,,
150,10005051203,10005051203,,,,,,
151,10005051204,10005051201,10005051202,10005051204,,,,
152,10003013700,10003013700,10003013800,,,,,
153,10003014300,10003014301,10003014302,,,,,
154,10003014702,10003014702,,,,,,
155,10003016608,10003016608,10003990100,,,,,
156,10003011600,10003011600,10003011700,,,,,
157,10003011300,10003011300,,,,,,
158,10001040700,10001040700,10001043300,,,,,
159,10003001300,10003001300,,,,,,
160,10003015200,10003001902,10003012900,10003015000,10003015100,10003015200,10003015400,10003015600
161,10005051702,10005051702,,,,,,
162,10001040100,10001040100,,,,,,
163,10005050802,10005050804,10005050805,,,,,
164,10001041200,10001041000,10001041101,10001041200,,,,
165,10003002400,10003002400,10003012200,,,,,
166,10003002700,10003002700,,,,,,
167,10003013200,10003013200,,,,,,
168,10005051004,10005051008,10005051010,10005051011,,,,
169,10005051301,10005051307,10005051308,,,,,
170,10003002100,10003002100,,,,,,
171,10003011400,10003011400,,,,,,
172,10005050105,10005050101,10005050105,,,,,
173,10001042500,10001042500,10001043202,,,,,
174,10003014904,10003014904,10003015000,,,,,
175,10003010400,10003010400,,,,,,
176,10003010900,10003010900,10003011000,,,,,
177,10003013100,10003013100,10003013200,,,,,
178,10003000200,10003000200,10003010800,,,,,
179,10003012500,10003012400,10003012500,,,,,
180,10001040203,10001040203,,,,,,
181,10003001100,10003001100,10003002800,,,,,
182,10003016404,10003016308,10003016404,,,,,
183,10003000500,10003000500,,,,,,
184,10005051500,10005051501,10005051502,,,,,
185,10005051802,10005051802,,,,,,
186,10005050602,10005050603,10005050604,,,,,
187,10001990000,10001043202,10001990000,,,,,
188,10003002600,10003002600,,,,,,
189,10003014100,10003014000,10003014100,10003014705,,,,
190,10003016904,10003016904,,,,,,
191,10003011800,10003011800,,,,,,
192,10003000300,10003000200,10003000300,,,,,
193,10001041701,10001041500,10001041701,10001041802,,,,
194,10003014404,10003014404,,,,,,
195,10005050408,10005050408,,,,,,
196,10003015000,10003012700,10003015000,10003015200,10003016309,,,
197,10003000400,10003000400,10003011700,,,,,
198,10003013615,10003013604,10003013608,10003013614,10003013615,10003013800,,
199,10005051006,10005051008,10005051014,10005051015,,,,
200,10003010200,10003010200,,,,,,
201,10001042800,10001042801,10001042802,,,,,
202,10003016000,10003015100,10003015600,10003016000,,,,
203,10005051103,10005051102,10005051103,,,,,
204,10001040900,10001040900,,,,,,
205,10003003002,10003000601,10003003002,,,,,
206,10005051205,10005051204,10005051205,,,,,
207,10003013800,10003013800,10003013901,10003013906,,,,
208,10001041702,10001041702,,,,,,
209,10003014502,10003014502,10003014702,,,,,
210,10003001400,10003001100,10003001200,10003001300,10003001400,,,
211,10005051005,10005051012,10005051013,,,,,
212,10005051701,10005051701,10005051702,,,,,
213,10003011202,10003011202,10003011203,,,,,
214,10003014909,10003014909,10003015000,,,,,
215,10003011000,10003011000,,,,,,
216,10003011100,10003011100,,,,,,
217,10005051101,10005051101,,,,,,
